onset	duration	parametric loss	distance from indifference	parametric gain	gain	loss	PTval	respnum	respcat	response_time
182.0	3	-0.1227	-0.0814	0.161	32	10	-3.23	3	0	1.314
192.0	3	0.2273	-0.4147	0.261	36	17	-23.89	4	0	1.9169999999999998
202.0	3	0.0273	-0.4147	0.061	28	13	-17.8	4	0	2.147
208.0	3	0.0273	-0.0814	0.211	34	13	-11.8	0	-1	0.0
212.0	3	0.0773	-0.0814	0.311	38	14	-11.32	3	0	2.106
220.0	3	-0.0727	-0.0814	0.161	32	11	-6.75	2	1	2.1390000000000002
224.0	3	-0.1727	-0.0814	0.161	32	9	0.29	2	1	1.699
234.0	3	0.1773	-0.4147	0.111	30	16	-26.36	3	0	2.123
238.0	3	-0.1227	0.2519	0.211	34	10	-1.23	3	0	2.659
246.0	3	-0.2227	-0.0814	-0.189	18	8	-10.18	3	0	2.963
250.0	3	0.3773	-0.4147	0.211	34	20	-36.46	3	0	2.885
256.0	3	0.1773	-0.4147	0.161	32	16	-24.36	3	0	1.739
260.0	3	-0.0227	-0.4147	-0.039	24	12	-18.27	3	0	1.3719999999999999
266.0	3	-0.0227	0.2519	0.311	38	12	-4.27	2	1	2.2680000000000002
272.0	3	-0.1227	0.2519	0.311	38	10	2.77	2	1	2.189
280.0	3	-0.2727	-0.0814	-0.039	24	7	-0.66	2	1	2.861
284.0	3	0.0273	0.2519	-0.239	16	13	-29.8	4	0	1.692
296.0	3	0.3273	-0.4147	0.261	36	19	-30.93	4	0	1.4369999999999998
310.0	3	-0.3727	0.2519	0.161	32	5	14.39	1	1	1.0290000000000001
316.0	3	-0.1727	0.2519	0.211	34	9	2.29	2	1	2.101
320.0	3	-0.2727	0.2519	0.061	28	7	3.34	2	1	2.23
324.0	3	0.0273	-0.0814	-0.039	24	13	-21.8	3	0	1.79
330.0	3	-0.3727	0.5853	0.311	38	5	20.39	1	1	1.501
336.0	3	-0.1727	-0.4147	-0.089	22	9	-9.71	2	1	1.358
342.0	3	-0.0727	-0.0814	-0.389	10	11	-28.75	4	0	1.141
346.0	3	0.0773	0.2519	-0.339	12	14	-37.32	4	0	0.885
350.0	3	0.3273	-0.4147	0.211	34	19	-32.93	4	0	1.367
360.0	3	-0.2727	0.5853	0.311	38	7	13.34	2	1	2.191
364.0	3	-0.3227	0.2519	0.111	30	6	8.86	2	1	2.319
368.0	3	0.2773	-0.0814	0.011	26	18	-37.41	4	0	2.431
374.0	3	-0.3227	-0.4147	-0.289	14	6	-7.14	3	0	2.839
378.0	3	-0.0227	-0.0814	-0.239	16	12	-26.27	4	0	1.318
382.0	3	0.3773	0.2519	-0.089	22	20	-48.46	4	0	1.168
386.0	3	0.2273	0.5853	-0.339	12	17	-47.89	4	0	1.385
398.0	3	-0.2727	-0.4147	-0.389	10	7	-14.66	3	0	2.2230000000000003
402.0	3	0.3773	0.2519	-0.189	18	20	-52.46	4	0	1.585
408.0	3	-0.3227	-0.4147	-0.339	12	6	-9.14	3	0	2.457
412.0	3	-0.3227	0.2519	0.161	32	6	10.86	1	1	1.9040000000000001
416.0	3	-0.2727	-0.0814	-0.189	18	7	-6.66	2	1	2.416
420.0	3	-0.1227	0.2519	0.361	40	10	4.77	1	1	1.729
424.0	3	0.0773	0.2519	-0.289	14	14	-35.32	4	0	1.585
428.0	3	0.3273	-0.0814	0.111	30	19	-36.93	4	0	2.129
436.0	3	0.2773	0.2519	-0.039	24	18	-39.41	4	0	2.8810000000000002
440.0	3	-0.0227	-0.0814	-0.389	10	12	-32.27	4	0	1.28
444.0	3	0.3273	-0.4147	0.361	40	19	-26.93	4	0	1.2890000000000001
448.0	3	-0.1727	-0.4147	-0.039	24	9	-7.71	2	1	2.705
458.0	3	0.2773	0.5853	-0.239	16	18	-47.41	4	0	1.105
462.0	3	-0.0227	0.2519	0.261	36	12	-6.27	3	0	2.002
466.0	3	-0.1727	-0.0814	0.011	26	9	-5.71	2	1	2.351
470.0	3	-0.0227	-0.4147	-0.139	20	12	-22.27	3	0	2.266
474.0	3	0.0773	-0.0814	-0.039	24	14	-25.32	4	0	2.0980000000000003
